"id","recipe_id","name","quantity","position","created_at","updated_at"
9157684,1214998,"クリームチーズ","20g",2,"2010-08-21 11:01:03","2010-08-21 11:01:03"
9157685,1214998,"冷凍パイシート","1枚（10×20㎝のもの）",3,"2010-08-21 11:01:03","2010-08-21 11:01:03"
9157697,1214998,"浅葱","適量",4,"2010-08-21 11:03:51","2010-08-21 11:03:51"
9157698,1214998,"（あれば）溶き卵","少々",5,"2010-08-21 11:03:51","2010-08-21 11:03:51"
9839587,1296508,"ピーマン","2個",1,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839561,1296508,"ズッキーニ","1/2本",2,"2010-11-28 14:29:48","2010-11-28 14:29:48"
9839588,1296508,"たまねぎ","1/2個",3,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839589,1296508,"トマト","1個半",4,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839590,1296508,"オリーブオイル","大匙１～２",5,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839559,1296508,"コーン缶（粒タイプ・165gのもの）","２缶",6,"2010-11-28 14:29:48","2010-11-28 14:29:48"
9839560,1296508,"コーン缶（クリームタイプ・190gのもの）","１缶",7,"2010-11-28 14:29:48","2010-11-28 14:29:48"
9839591,1296508,"牛乳","２カップ",8,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839592,1296508,"鶏スープ","１カップ",9,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9845925,1296508,"チェダーチーズ","１００g",10,"2010-11-29 06:48:32","2010-11-29 06:48:32"
9839593,1296508,"塩","小匙1/2",11,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839594,1296508,"胡椒","適量",12,"2010-11-28 14:36:40","2010-11-28 14:36:40"
9839652,1296508,"パセリ","1/2束くらい",13,"2010-11-28 14:47:16","2010-11-28 14:47:16"
9839700,1296530,"無塩バター","110g",1,"2010-11-28 14:53:53","2010-11-28 14:53:53"
9839701,1296530,"粉砂糖","110ｇ",2,"2010-11-28 14:53:53","2010-11-28 14:53:53"
9839702,1296530,"卵","2個",3,"2010-11-28 14:53:53","2010-11-28 14:53:53"
9839752,1296530,"薄力粉","110g",4,"2010-11-28 14:57:50","2010-11-28 14:57:50"
9839753,1296530,"ベーキングパウダー","小匙１",5,"2010-11-28 14:57:50","2010-11-28 14:57:50"
9839754,1296530,"熱湯","大匙１～３（様子をみて加減）",6,"2010-11-28 14:57:50","2010-11-28 14:57:50"
9839755,1296530,"ラズベリージャム","適量",7,"2010-11-28 14:57:50","2010-11-28 14:57:50"
11236050,1468815,"豚の塊肉（写真はバラ肉使用）","約500g",1,"2011-06-13 06:27:57","2011-06-13 06:27:57"
11236051,1468815,"粗塩","大さじ２〜",2,"2011-06-13 06:27:57","2011-06-13 06:27:57"
11236052,1468815,"黒胡椒","適量",3,"2011-06-13 06:27:57","2011-06-13 06:27:57"
11236085,1468815,"彩りに","",4,"2011-06-13 06:43:44","2011-06-13 06:43:44"
11236086,1468815,"ミニトマト、青みの野菜やハーブなど","適量",5,"2011-06-13 06:43:44","2011-06-13 06:43:44"
11679704,1524576,"米","2合",0,"2011-08-17 06:49:29","2011-08-17 06:49:29"
11679705,1524576,"ごぼう","1/3本",1,"2011-08-17 06:49:29","2011-08-17 06:49:29"
11679706,1524576,"人参","1/2本",2,"2011-08-17 06:49:29","2011-08-17 06:49:29"
11679708,1524576,"干し椎茸","2枚",3,"2011-08-17 06:54:03","2011-08-17 06:54:03"
11679709,1524576,"鶏もも肉","1枚",4,"2011-08-17 06:54:04","2011-08-17 06:54:04"
11679710,1524576,"調味料","",5,"2011-08-17 06:54:04","2011-08-17 06:54:04"
11679711,1524576,"　醤油","大匙２",6,"2011-08-17 06:54:04","2011-08-17 06:54:04"
11679712,1524576,"　酒","大匙１",7,"2011-08-17 06:54:04","2011-08-17 06:54:04"
11679713,1524576,"　塩","小匙1/3",8,"2011-08-17 06:54:05","2011-08-17 06:54:05"
11679714,1524576,"　椎茸の戻し汁","大匙２~",9,"2011-08-17 06:54:05","2011-08-17 06:54:05"
11680032,1524576,"椿油","大匙１",10,"2011-08-17 08:58:49","2011-08-17 08:58:49"
